config,backend,broker,kind,n,workers,repeat,enqueue_sec,enqueue_rate,total_sec,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,wait_p50_ms,workers_seen
celery-rabbitmq,celery,rabbitmq,noop,1000,4,3,0.642,1557.6,0.744,1343.5,57.4,102.2,104.9,57.4,4
celery-rabbitmq,celery,rabbitmq,noop,5000,1,1,3.031,1649.7,10.399,480.8,3825.0,6963.0,7298.4,3825.0,1
celery-rabbitmq,celery,rabbitmq,noop,5000,1,2,2.967,1685.1,10.464,477.8,3763.5,7133.6,7428.8,3763.5,1
celery-rabbitmq,celery,rabbitmq,noop,5000,1,3,3.023,1654.2,10.661,469.0,4005.6,7227.3,7566.7,4005.6,1
celery-rabbitmq,celery,rabbitmq,noop,5000,2,1,3.066,1630.9,5.868,852.1,1573.0,2690.0,2777.4,1573.0,2
celery-rabbitmq,celery,rabbitmq,noop,5000,2,2,3.032,1649.0,5.848,854.9,1515.5,2657.3,2750.5,1515.5,2
celery-rabbitmq,celery,rabbitmq,noop,5000,2,3,3.085,1620.9,5.985,835.5,1648.9,2778.3,2874.2,1648.9,2
celery-rabbitmq,celery,rabbitmq,noop,5000,4,1,3.084,1621.2,3.628,1378.3,293.6,531.7,540.9,293.6,4
celery-rabbitmq,celery,rabbitmq,noop,5000,4,2,3.181,1571.9,4.009,1247.2,409.2,756.4,820.4,409.2,4
celery-rabbitmq,celery,rabbitmq,noop,5000,4,3,3.128,1598.7,3.716,1345.6,333.3,624.1,656.4,333.3,4
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,1,1,0.622,1607.3,52.456,19.1,25794.4,49266.6,51330.0,25748.1,1
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,1,2,0.626,1596.3,52.318,19.1,25820.5,49153.6,51173.8,25774.7,1
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,1,3,0.637,1570.8,52.263,19.1,25745.3,49082.8,51137.2,25673.2,1
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,2,1,0.67,1493.6,27.535,36.3,13476.2,25450.7,26615.6,13428.8,2
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,2,2,0.656,1525.2,27.599,36.2,13568.7,25701.2,26697.9,13512.6,2
