config,backend,broker,kind,n,workers,repeat,enqueue_sec,enqueue_rate,drain_sec,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,wait_p50_ms,workers_seen
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,4,2,0.441,2265.8,14.898,67.1,48.5,51.66,52.44,2.21,4
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,4,3,0.446,2243.8,14.815,67.5,48.66,59.47,102.56,2.19,4
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,1,1,0.441,2269.7,58.932,17.0,52.7,55.78,57.14,2.53,1
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,1,2,0.437,2287.5,58.552,17.1,54.31,55.55,55.85,4.11,1
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,1,3,0.438,2281.3,58.684,17.0,54.96,56.61,56.79,4.74,1
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,2,1,0.459,2180.6,29.276,34.2,54.72,55.98,56.23,4.52,2
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,2,2,0.441,2267.9,29.358,34.1,54.3,55.65,55.97,4.18,2
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,2,3,0.445,2248.1,29.28,34.2,54.39,56.74,56.75,4.22,2
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,4,1,0.445,2245.4,14.563,68.7,54.79,56.93,56.94,4.56,4
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,4,2,0.44,2270.8,14.489,69.0,53.01,55.93,55.97,2.93,4
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,4,3,0.447,2237.3,14.622,68.4,54.55,56.66,56.81,4.29,4
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,1,1,23.916,209.1,9.104,549.2,1.57,1.84,2.68,1.57,1
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,1,2,23.874,209.4,9.02,554.3,1.58,1.87,2.52,1.58,1
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,1,3,23.563,212.2,8.896,562.1,1.57,1.88,2.51,1.57,1
